adr,adults,agent,arrival_date_day_of_month,arrival_date_month,arrival_date_week_number,arrival_date_year,assigned_room_type,babies,booking_changes,children,company,country,customer_type,days_in_waiting_list,deposit_type,distribution_channel,hotel,is_canceled,is_repeated_guest,lead_time,market_segment,meal,previous_bookings_not_canceled,previous_cancellations,required_car_parking_spaces,reservation_status,reservation_status_date,reserved_room_type,stays_in_week_nights,stays_in_weekend_nights,total_of_special_requests
0.0,2,,1,July,27.0,2015,C,0,3.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,342,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-01,C,0.0,0.0,0.0
0.0,2,,1,July,27.0,2015,C,0,4.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,737,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-01,C,0.0,0.0,0.0
75.0,1,,1,July,27.0,2015,C,0,0.0,0.0,,GBR,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,7,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-02,A,1.0,0.0,0.0
75.0,1,304.0,1,July,27.0,2015,A,0,0.0,0.0,,GBR,Transient,0.0,No Deposit,Corporate,Resort Hotel,0,0.0,13,Corporate,BB,0.0,0.0,0.0,Check-Out,2015-07-02,A,1.0,0.0,0.0
98.0,2,240.0,1,July,27.0,2015,A,0,0.0,0.0,,GBR,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,14,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-03,A,2.0,0.0,1.0
107.0,2,,1,July,27.0,2015,C,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,0,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-03,C,2.0,0.0,0.0
103.0,2,303.0,1,July,27.0,2015,C,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,9,Direct,FB,0.0,0.0,0.0,Check-Out,2015-07-03,C,2.0,0.0,1.0
82.0,2,240.0,1,July,27.0,2015,A,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,1,0.0,85,Online TA,BB,0.0,0.0,0.0,Canceled,2015-05-06,A,3.0,0.0,1.0
105.5,2,15.0,1,July,27.0,2015,D,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,1,0.0,75,Offline TA/TO,HB,0.0,0.0,0.0,Canceled,2015-04-22,D,3.0,0.0,0.0
123.0,2,240.0,1,July,27.0,2015,E,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,1,0.0,23,Online TA,BB,0.0,0.0,0.0,Canceled,2015-06-23,E,4.0,0.0,0.0
145.0,2,240.0,1,July,27.0,2015,D,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,35,Online TA,HB,0.0,0.0,0.0,Check-Out,2015-07-05,D,4.0,0.0,0.0
97.0,2,240.0,1,July,27.0,2015,E,0,0.0,0.0,,USA,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,68,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-05,D,4.0,0.0,3.0
154.77,2,241.0,1,July,27.0,2015,G,0,1.0,1.0,,ESP,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,18,Online TA,HB,0.0,0.0,0.0,Check-Out,2015-07-05,G,4.0,0.0,1.0
94.71,2,241.0,1,July,27.0,2015,E,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,37,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-05,E,4.0,0.0,0.0
97.0,2,240.0,1,July,27.0,2015,E,0,0.0,0.0,,IRL,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,68,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-05,D,4.0,0.0,3.0
97.5,2,8.0,1,July,27.0,2015,E,0,0.0,0.0,,PRT,Contract,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,37,Offline TA/TO,BB,0.0,0.0,0.0,Check-Out,2015-07-05,E,4.0,0.0,0.0
88.2,2,240.0,1,July,27.0,2015,E,0,0.0,0.0,,IRL,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,12,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-02,A,1.0,0.0,0.0
107.42,2,,1,July,27.0,2015,G,0,0.0,0.0,110.0,FRA,Transient,0.0,No Deposit,Corporate,Resort Hotel,0,0.0,0,Corporate,BB,0.0,0.0,0.0,Check-Out,2015-07-02,A,1.0,0.0,0.0
153.0,2,250.0,1,July,27.0,2015,G,0,0.0,0.0,,GBR,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,7,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-05,G,4.0,0.0,1.0
97.29,1,241.0,1,July,27.0,2015,F,0,0.0,0.0,,GBR,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,37,Online TA,BB,0.0,0.0,0.0,Check-Out,2015-07-06,F,4.0,1.0,1.0
84.67,2,250.0,1,July,27.0,2015,A,0,1.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,72,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-07,A,4.0,2.0,1.0
99.67,2,250.0,1,July,27.0,2015,D,0,1.0,0.0,,PRT,Transient,0.0,No Deposit,Direct,Resort Hotel,0,0.0,72,Direct,BB,0.0,0.0,0.0,Check-Out,2015-07-07,D,4.0,2.0,1.0
94.95,2,115.0,1,July,27.0,2015,I,0,0.0,0.0,,GBR,Contract,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,127,Offline TA/TO,HB,0.0,0.0,0.0,Check-Out,2015-07-01,D,5.0,2.0,1.0
63.6,2,5.0,1,July,27.0,2015,D,0,0.0,0.0,,PRT,Transient,0.0,No Deposit,TA/TO,Resort Hotel,0,0.0,78,Offline TA/TO,BB,0.0,0.0,1.0,Check-Out,2015-07-08,D,5.0,2.0,0.0
